Mattias Per Larsson,producer,S10001,CO0414,RO0062,,Alvin McGill,CO0024,,dataSanitization,RO0024,,,,,,Hollywood Records,RL0024,,M0001,RL0004,S10022, 1977-08-01 00:00:00,Arista,I Wouldn't Want to Be Like You,Global
Robin Lennart Fredriksson,producer,S10001,CO0527,RO0062,,Amirbai Karnataki,CO0025,,digitalEditing,RO0025,,,,,,Interscope,RL0025,,M0001,RL0025,S10023, 1999-05-04 00:00:00,Interscope,All Star,Global
Atamnia,dataCollection,S10001,CO0047,RO0023,,Ammo,CO0026,,director,RO0026,,,,,,Malavika,RL0026,,M0001,RL0034,S10024, 2019-10-15 00:00:00,Republic Rercords,Take What You Want,Global
Tupac Amaru Shakur,lyricist,S10002,CO0617,RO0049,,Amos Heller,CO0027,,doubleBass,RO0027,,,,,,Marvelous Entertainment,RL0027,,M0001,RL0032,S10025, 2008-06-16 00:00:00,Relentless,Ain't No Rest For The Wicked,Global
Tyruss Himes,lyricist,S10002,CO0619,RO0049,,Ander Young,CO0028,,drum,RO0028,,,,,,Mosley,RL0028,,M0001,RL0041,S10026, 2021-05-09 09:00:00,ZTM Collections,Find You,Global
Johnny Lee Jackson,lyricist,S10002,CO0315,RO0049,,Anderson Park,CO0029,,drumMachine,RO0029,,,,,,Mute,RL0029,,M0001,RL0002,S10027, 2000-04-18 00:00:00,Aftermath,The Real Slim Shady,Global
James Preston Pennington,lyricist,S10002,CO0264,RO0049,,Andre Owen,CO0030,,drumProgramming,RO0030,,,,,,Parlophone,RL0030,,M0001,RL0026,S10028, 2015-03-10 00:00:00,Malavika,See you again,Global
Tupac Amaru Shakur,composer,S10002,CO0617,RO0019,,Andrea Vogt,CO0031,,electricGuitar,RO0031,,,,,,Profile Records,RL0031,,M0001,RL0039,S10029, 2020-12-04 00:00:00,XO,Blinding Lights,Global
Dave Aron,mixingEngineer,S10002,CO0117,RO0054,,Andrew Cedar,CO0032,,engineer,RO0032,,,,,,Relentless,RL0032,,M0001,RL0028,S10030, 2017-07-12 00:00:00,Mosley,Let Me Go,Global
Johnny Lee Jackson,mixingEngineer,S10002,CO0315,RO0054,,Andrew Fletcher,CO0033,,executiveProducer,RO0033,,,,,,Republic Records,RL0033,,M0001,RL0040,S10031, 2018-12-19 00:00:00,Young Money,God's Plan,Global
